Doi,Year,Name,Abbreviation,Sintering temperature,Sintering time,Category,Cycle,Capacity,Retention,Current: mAg-1,Current: C,Voltage lower limit,Voltage upper limit,Elements
10.1039/c6ra06785a,2016,O3-NaMn0.4Co0.2Ni0.4O2,,800.0,8.0,Cycling performance,33.0,,80.0,,0.05,2.2,3.8,"{'Na': '1', 'Mn': '0.4', 'Co': '0.2', 'Ni': '0.4', 'O': '2'}"
10.1016/j.ensm.2021.04.007,2021,P2-Na0.66Li0.22Mn0.78Sn0.01O2,NLMSO,,,Cycling performance,50.0,,73.0,,0.05,1.5,4.5,"{'Na': '0.66', 'Li': '0.22', 'Mn': '0.78', 'Sn': '0.01', 'O': '2'}"
10.1016/j.ensm.2021.04.007,2021,P2-Na0.66Li0.22Mn0.78Sn0.01O2,NLMSO,,,Cycling performance,50.0,55.0,,,0.05,1.5,4.5,"{'Na': '0.66', 'Li': '0.22', 'Mn': '0.78', 'Sn': '0.01', 'O': '2'}"
10.1016/j.ensm.2021.04.007,2021,P2-Na0.66Li0.22Mn0.78Sn0.01O2,NLMSO,,,Cycling performance,1.0,75.3,,,0.05,1.5,4.5,"{'Na': '0.66', 'Li': '0.22', 'Mn': '0.78', 'Sn': '0.01', 'O': '2'}"
10.1016/j.electacta.2017.12.092,2018,Na0.7Mn0.64Co0.18Ni0.18O2,NNMC-HS,750.0,6.0,Rate performance,,208.0,,,0.05,1.2,4.3,"{'Na': '0.7', 'Mn': '0.64', 'Co': '0.18', 'Ni': '0.18', 'O': '2'}"
10.1039/c6ra06785a,2016,NaMn0.4Co0.2Ni0.4O2,,800.0,8.0,Cycling performance,33.0,135.0,,,0.05,2.2,3.8,"{'Na': '1', 'Mn': '0.4', 'Co': '0.2', 'Ni': '0.4', 'O': '2'}"
10.1016/j.jelechem.2023.117222,2023,Na0.9Mn0.45Fe0.5Ni0.05O2,NFNM,,,Rate performance,,120.0,,,0.05,1.9,4.2,"{'Na': '0.9', 'Mn': '0.45', 'Fe': '0.5', 'Ni': '0.05', 'O': '2'}"
10.1016/j.electacta.2017.12.092,2018,Na0.7Mn0.64Co0.18Ni0.18O2,NNMC-HS,750.0,6.0,Rate performance,,204.0,,,0.05,1.2,4.3,"{'Na': '0.7', 'Mn': '0.64', 'Co': '0.18', 'Ni': '0.18', 'O': '2'}"
10.1016/j.jechem.2023.03.014,2023,P2-Na0.79Li0.13Mn0.67Ni0.2O2,Na-LNM,900.0,18.0,Cycling performance,1.0,173.0,,,0.05,1.5,4.5,"{'Na': '0.79', 'Li': '0.13', 'Mn': '0.67', 'Ni': '0.2', 'O': '2'}"
10.1016/j.ensm.2021.04.007,2021,P2-Na0.66Li0.22Mn0.78Sn0.01O2,NLMSO,,,Cycling performance,1.0,197.2,,,0.05,1.5,4.5,"{'Na': '0.66', 'Li': '0.22', 'Mn': '0.78', 'Sn': '0.01', 'O': '2'}"
10.1016/j.ensm.2022.01.023,2022,O3-Na0.72Cr0.86Sb0.14O2,,1050.0,3.0,Rate performance,,174.69,,8.75,0.050088728604957354,1.5,4.1,"{'Na': '0.72', 'Cr': '0.86', 'Sb': '0.14', 'O': '2'}"
10.1016/j.jpowsour.2022.231511,2022,Na0.67Mn0.8Fe0.1Cu0.1O1.9F0.1,FMCF,1000.0,12.0,Rate performance,,195.6,,10.0,0.05112474437627812,1.5,4.0,"{'Na': '0.67', 'Mn': '0.8', 'Fe': '0.1', 'Cu': '0.1', 'O': '1.9', 'F': '0.1'}"
10.1039/d1ta10329f,2021,α-NaMnO2,,,,Cycling performance,100.0,190.0,,10.0,0.05263157894736842,2.0,4.2,"{'Na': '1', 'Mn': '1', 'O': '2'}"
10.1016/j.apsusc.2019.143814,2019,Na0.67Mn0.5Fe0.5O2,MF,900.0,12.0,Rate performance,,187.0,,10.0,0.053475935828877004,1.5,4.2,"{'Na': '0.67', 'Mn': '0.5', 'Fe': '0.5', 'O': '2'}"
10.1016/j.jallcom.2019.152402,2020,Na0.8Li0.33Ti0.2Mn0.47O2,,750.0,15.0,Rate performance,,184.0,,10.0,0.05434782608695652,1.5,4.3,"{'Na': '0.8', 'Li': '0.33', 'Ti': '0.2', 'Mn': '0.47', 'O': '2'}"
10.1016/j.jpowsour.2020.228557,2020,NaMn0.33Fe0.33Ni0.33O2,,900.0,15.0,Cycling performance,1.0,184.0,,10.0,0.05434782608695652,1.5,4.5,"{'Na': '1', 'Mn': '0.33', 'Fe': '0.33', 'Ni': '0.33', 'O': '2'}"
10.1016/j.scib.2018.02.012,2018,O3-Na0.8Ti0.6Co0.1Ni0.3O2,NNCT,900.0,15.0,Rate performance,,92.0,,5.0,0.05434782608695652,2.0,4.0,"{'Na': '0.8', 'Ti': '0.6', 'Co': '0.1', 'Ni': '0.3', 'O': '2'}"
