Doi,Year,Name,Abbreviation,Sintering temperature,Sintering time,Category,Cycle,Capacity,Retention,Current: mAg-1,Current: C,Voltage lower limit,Voltage upper limit,Elements
10.1016/j.colsurfa.2021.127929,2022,O3-Na0.9Cr0.5Fe0.5O2,NCF,900.0,12.0,Cycling performance,100.0,89.3,,,0.1,2.0,4.0,"{'Na': '0.9', 'Cr': '0.5', 'Fe': '0.5', 'O': '2'}"
10.1016/j.jiec.2021.07.021,2021,P2-NaTi0.6Co0.1Ni0.3O2,NTNC,900.0,12.0,Rate performance,,96.0,,,0.1,2.0,4.0,"{'Na': '1', 'Ti': '0.6', 'Co': '0.1', 'Ni': '0.3', 'O': '2'}"
10.1016/j.jiec.2021.07.021,2021,O3-NaTi0.6Co0.1Ni0.3O2,NTNC,900.0,12.0,Rate performance,,103.0,,,0.1,2.0,4.0,"{'Na': '1', 'Ti': '0.6', 'Co': '0.1', 'Ni': '0.3', 'O': '2'}"
10.1016/j.jiec.2021.07.021,2021,O3-NaTi0.6Co0.1Ni0.3O2,NTNC,900.0,12.0,Rate performance,,90.0,,,0.1,2.0,4.0,"{'Na': '1', 'Ti': '0.6', 'Co': '0.1', 'Ni': '0.3', 'O': '2'}"
10.1016/j.electacta.2016.09.003,2016,Na0.67Mn0.72Co0.14Ni0.14O2,,800.0,12.0,Rate performance,,190.0,,,0.1,1.5,4.3,"{'Na': '0.67', 'Mn': '0.72', 'Co': '0.14', 'Ni': '0.14', 'O': '2'}"
10.1016/j.colsurfa.2021.127929,2022,O3-Na0.9Cr0.5Fe0.5O2,NCF,900.0,12.0,Rate performance,,125.71,,,0.1,2.0,4.0,"{'Na': '0.9', 'Cr': '0.5', 'Fe': '0.5', 'O': '2'}"
10.1016/j.jpowsour.2013.04.059,2013,Na0.6Li0.2Mn0.8O2,,,,Cycling performance,1.0,247.0,,,0.1,2.0,4.8,"{'Na': '0.6', 'Li': '0.2', 'Mn': '0.8', 'O': '2'}"
10.1016/j.apsusc.2022.155097,2023,P2-Na0.8Mn0.9Cu0.1O2,NCMO,900.0,12.0,Rate performance,,166.5,,,0.1,1.5,4.5,"{'Na': '0.8', 'Mn': '0.9', 'Cu': '0.1', 'O': '2'}"
10.1016/j.matchemphys.2023.127307,2023,Na0.7MnO2.05,,800.0,4.0,Cycling performance,500.0,,84.75,,0.1,2.0,4.5,"{'Na': '0.7', 'Mn': '1', 'O': '2.05'}"
10.1016/j.jpowsour.2016.07.109,2016,NaTi0.2Mn0.3Ni0.5O2,,900.0,15.0,Rate performance,,136.0,,,0.1,2.0,4.0,"{'Na': '1', 'Ti': '0.2', 'Mn': '0.3', 'Ni': '0.5', 'O': '2'}"
10.1016/j.electacta.2013.09.098,2013,P2-Na0.67Mn0.67Ni0.33O2,,800.0,12.0,Cycling performance,100.0,,67.0,135.0,0.1,1.6,3.8,"{'Na': '0.67', 'Mn': '0.67', 'Ni': '0.33', 'O': '2'}"
